store,distance,common_months,score
155,582.7030000000001,12,1.0
229,649.6289999999998,12,0.9939237653443628
109,688.5030000000003,12,0.9903943814576335
227,846.243,12,0.9760731123756592
62,873.1369999999997,12,0.9736313968267141
97,893.138,12,0.9718154991285489
207,908.7729999999999,12,0.9703959920783608
157,910.4390000000002,12,0.9702447353629394
247,916.5030000000003,12,0.9696941827084884
13,916.5640000000002,12,0.9696886444974195
160,934.2669999999998,12,0.968081383012963
116,942.017,12,0.9673777578361828
225,944.3440000000002,12,0.967166488702458
39,954.912,12,0.966207016332366
184,968.7559999999999,12,0.9649501147907732
114,969.5619999999999,12,0.964876937772388
10,1006.8010000000002,12,0.9614959961003731
57,1009.4749999999998,12,0.9612532227167976
106,1022.64,12,0.9600579678197253
147,1024.2930000000001,12,0.959907891378794
178,1032.6899999999998,12,0.9591455248485459
30,1067.497,12,0.9559853852965218
101,1073.8120000000001,12,0.9554120442653776
91,1074.522,12,0.95534758312015
222,1085.822,12,0.9543216522172319
269,1090.183,12,0.9539257155209818
112,1090.7039999999997,12,0.9538784137510331
232,1097.9129999999998,12,0.9532239061511095
104,1098.3160000000003,12,0.9531873176419169
191,1102.97,12,0.9527647793744672
122,1106.049,12,0.9524852359010084
113,1111.003,12,0.9520354605299415
236,1119.5079999999996,12,0.9512632886423912
67,1119.5610000000001,12,0.9512584767540854
223,1127.3239999999996,12,0.9505536713028152
219,1130.601,12,0.9502561513409689
196,1138.528,12,0.9495364562730545
94,1144.7510000000002,12,0.9489714679536864
190,1165.7600000000004,12,0.9470640535873671
259,1190.977,12,0.9447745934476426
138,1196.366,12,0.9442853242763306
180,1211.5660000000003,12,0.9429053110263875
102,1215.1650000000002,12,0.9425785565733255
183,1223.454,12,0.9418259954003796
48,1234.8180000000002,12,0.9407942539153563
69,1246.916,12,0.9396958723168162
221,1248.794,12,0.9395253680481719
71,1254.1779999999999,12,0.9390365528285869
172,1257.1,12,0.9387712634393544
119,1272.756,12,0.937349849791913
83,1275.9000000000003,12,0.9370644049460037
33,1277.094,12,0.936956001273607
164,1277.8389999999997,12,0.9368883624662907
105,1284.1189999999997,12,0.9363181990972353
32,1308.119,12,0.9341392308078516
55,1311.9969999999998,12,0.9337871458484254
270,1336.774,12,0.9315376334606729
168,1337.4780000000003,12,0.9314737170575176
129,1359.4249999999997,12,0.9294811413472216
271,1363.3570000000002,12,0.9291241537091443
241,1380.2980000000002,12,0.9275860744678756
118,1390.8039999999996,12,0.9266322310991979
137,1391.8230000000003,12,0.9265397157372444
23,1426.4740000000002,12,0.9233937394791013
78,1432.2749999999999,12,0.9228670646854882
28,1452.2079999999999,12,0.9210573407308097
133,1461.563,12,0.9202079970496769
80,1477.578,12,0.9187539896682403
100,1481.0279999999996,12,0.9184407629766415
257,1499.3689999999995,12,0.9167755772518253
5,1504.694,12,0.9162921186626183
110,1504.947,12,0.9162691487052343
179,1510.6100000000004,12,0.9157550029792851
128,1531.5159999999998,12,0.9138569400185412
79,1563.8769999999997,12,0.9109188736513435
152,1583.919,12,0.9090992535490173
209,1586.234,12,0.9088890738994372
162,1589.7480000000003,12,0.9085700366257332
156,1599.7699999999998,12,0.9076601357842248
24,1633.72,12,0.9045778035582007
70,1667.284,12,0.9015305164054976
15,1696.7230000000002,12,0.8988577394275323
166,1719.208,12,0.896816318511416
36,1755.025,12,0.8935644807105471
45,1779.9910000000002,12,0.8912978089475156
107,1794.6670000000004,12,0.8899653698385575
262,1798.1419999999998,12,0.8896498733883238
230,1864.3429999999998,12,0.8836394617330952
208,1871.337,12,0.8830044740574305
7,1950.5130000000001,12,0.8758160576707538
212,1955.1030000000003,12,0.875399329985409
213,1971.2060000000006,12,0.873937333053578
63,1979.132,12,0.873217728776009
43,2013.4390000000003,12,0.8701029843966804
175,2051.277,12,0.8666676593077762
148,2098.765,12,0.8623562073858491
144,2127.129,12,0.8597810300291792
19,2213.9920000000006,12,0.8518947082574817
3,2267.9930000000004,12,0.8469919388160231
154,2278.649,12,0.8460244768955367
93,2357.334,12,0.8388806385684469
60,2395.338,12,0.8354302422822077
231,2446.856,12,0.8307529052683549
59,2460.1279999999997,12,0.8295479358043258
250,2468.7000000000003,12,0.8287696809636342
56,2481.0240000000003,12,0.8276507807470357
65,2489.5600000000004,12,0.8268757943587781
216,2493.761,12,0.8264943841177906
153,2526.7479999999996,12,0.8234994829943783
194,2614.9609999999993,12,0.815490594256403
49,2772.322,12,0.8012037347153318
75,2800.3509999999997,12,0.798658972124368
125,2850.4200000000005,12,0.7941131903209865
123,2960.0540000000005,12,0.784159481594391
210,3194.7070000000003,12,0.7628552546773597
261,3374.3000000000006,12,0.746549944177556
238,3404.695,12,0.7437903716293971
95,3426.2520000000004,12,0.7418332041538036
217,3504.082999999999,12,0.7347669007816777
181,3611.9510000000005,12,0.7249735278050427
72,3714.909,12,0.7156259354242773
201,3853.3100000000004,12,0.7030604608318194
130,3873.3400000000006,12,0.7012419302136378
81,3883.4330000000004,12,0.7003255832576065
26,4003.7999999999997,12,0.6893974217539297
203,4102.1269999999995,12,0.6804702794626701
4,4275.753000000001,12,0.6647067149538144
199,4339.420999999999,12,0.6589262752434613
58,4841.899,12,0.6133061240720887
237,5177.005999999999,12,0.5828816437991512
40,5202.067000000001,12,0.5806063469533075
202,5240.2970000000005,12,0.5771354320490101
246,5292.031,12,0.5724384843205528
242,5429.624999999999,12,0.5599462775368254
235,5522.421,12,0.5515212966459233
173,5551.565000000001,12,0.5488753028198482
165,5603.129000000001,12,0.5441937894501074
200,5723.838,12,0.5332345776483067
260,5843.282,12,0.5223902156334257
142,5886.548999999999,12,0.518461989759394
84,5891.196999999999,12,0.5180399962340165
54,5914.667000000001,12,0.51590914682769
88,5987.504999999999,12,0.5092961596501013
25,6007.721999999999,12,0.5074606512373319
134,6042.197,12,0.5043306540799775
21,6152.503000000001,12,0.4943159342412792
66,6176.344,12,0.4921514016168127
27,6183.9619999999995,12,0.49145976076562414
12,6312.76,12,0.4797661458599558
150,6362.415999999999,12,0.475257860469221
253,6423.7119999999995,12,0.46969277545813504
64,6442.928,12,0.46794814818110175
149,6467.618,12,0.4657065345533983
243,6545.082999999999,12,0.45867346044768553
126,6554.851000000001,12,0.45778662035390627
171,6611.776000000002,12,0.4526183799425242
37,6616.178,12,0.45221872084211323
234,6623.396,12,0.45156339612908114
29,6651.0160000000005,12,0.44905576678938197
251,6687.245999999999,12,0.44576643257586657
272,6690.3099999999995,12,0.4454882509575886
240,6698.075000000001,12,0.4447832639256275
17,6704.024,12,0.4442431521608965
47,6721.663,12,0.44264170125854496
143,6780.031,12,0.43734245037876374
174,6798.798999999999,12,0.43563849717646586
8,6870.476999999999,12,0.42913082679953063
182,6881.813,12,0.42810162744417835
96,7007.969999999999,12,0.4166477898406876
215,7012.138,12,0.4162693756810979
248,7062.667,12,0.41168183031883665
245,7074.965000000001,12,0.4105652906512183
34,7111.485000000001,12,0.40724962723753944
228,7150.498000000001,12,0.40370762349280076
170,7152.425,12,0.4035326704972324
82,7196.075999999999,12,0.3995695811305705
9,7223.293000000001,12,0.397098540300064
239,7309.847000000001,12,0.38924027274509243
115,7319.332,12,0.3883791263190589
226,7364.579999999999,12,0.38427104477080765
87,7375.943999999999,12,0.3832393032857845
73,7386.635,12,0.38226866370320933
197,7416.837,12,0.3795266136917107
68,7501.901999999999,12,0.37180353296102653
145,7622.223,12,0.3608795478132374
22,7625.209000000001,12,0.3606084478418998
108,7684.818,12,0.3551965261434886
169,7750.826999999999,12,0.34920354623457495
121,7761.606000000001,12,0.3482249171016054
103,7825.592999999999,12,0.3424155152710725
256,7828.169999999999,12,0.3421815485509998
249,7911.459999999999,12,0.3346196206833846
18,8044.927,12,0.32250210565508564
38,8170.175,12,0.3111307964755552
90,8177.4929999999995,12,0.31046639272798404
188,8273.718,12,0.30173009174273613
220,8285.564,12,0.30065458931123457
77,8286.723,12,0.3005493633009264
50,8307.819000000001,12,0.298634050174558
46,8327.337,12,0.29686200421321685
141,8405.41,12,0.28977372957750636
205,8409.004,12,0.28944742907617105
185,8443.14,12,0.28634820984590437
255,8493.420999999998,12,0.2817831804893003
187,8517.864000000001,12,0.2795639920769081
233,8525.876,12,0.2788365798296356
176,8582.926000000001,12,0.27365699062507964
214,8628.122000000001,12,0.2695536301747886
53,8637.831,12,0.2686721467113876
6,8669.905,12,0.26576013717331703
268,8743.637999999999,12,0.2590658926366035
195,8748.511,12,0.25862347128351315
41,8753.494,12,0.25817106299242987
163,8763.938000000002,12,0.2572228486251662
20,8808.518999999998,12,0.25317532423729083
264,8819.003999999999,12,0.25222338746586637
131,8874.409000000001,12,0.24719314837947848
265,8925.354000000001,12,0.24256783423353467
1,8926.081,12,0.2425018296524355
89,8946.534,12,0.24064489471815365
111,8947.936,12,0.24051760665391553
167,9064.157,12,0.22996586192222956
74,9142.930999999999,12,0.22281394325440007
124,9258.429999999998,12,0.2123277491520864
2,9378.821,12,0.2013974086801199
136,9388.369999999999,12,0.20053045167198147
51,9405.129,12,0.19900889627357377
186,9542.177000000001,12,0.18656626101842966
151,9591.678000000002,12,0.18207204813123035
120,9601.579000000002,12,0.18117313292151427
266,9672.822000000002,12,0.17470495634482408
16,9807.732999999998,12,0.16245634005778098
254,9824.295,12,0.16095267035741523
35,9844.992,12,0.15907358257885795
98,9862.788,12,0.15745787759227992
189,10118.826000000001,12,0.1342120991390623
218,10438.866,11,0.1051555570001308
44,10611.87,11,0.0894484640861084
117,10720.717999999999,11,0.07956611657099044
61,11214.189999999999,12,0.0347636232502091
132,11292.690000000002,12,0.02763658113701628
52,11323.990000000002,12,0.02479484332627846
204,11340.29,12,0.023314960696405485
14,11387.59,12,0.019020577359411872
224,11404.390000000001,12,0.017495299556843147
135,11412.811,12,0.01673075405830582
127,11415.390000000001,12,0.016496605757542304
192,11430.899,12,0.015088538290873643
158,11447.192,12,0.01360929119341825
139,11455.99,12,0.012810517734668347
159,11457.39,12,0.012683411251120935
161,11462.09,12,0.012256696627783281
244,11474.54,12,0.011126356827665385
258,11481.39,12,0.010504442961737248
263,11502.79,12,0.008561529570370041
267,11522.89,12,0.006736643628011296
146,11533.19,12,0.005801503070484104
42,11542.490000000002,12,0.0049571528583477464
140,11559.222999999998,12,0.0034379580089206607
198,11564.59,12,0.002950686225207111
99,11579.265000000001,12,0.0016183379065942693
177,11597.09,12,0.0
